Source,Target,Importance
GENE20,GENE82,0.125
GENE55,GENE169,0.125
GENE43,GENE66,0.125
GENE64,GENE134,0.125
GENE55,GENE13,0.125
GENE40,GENE181,0.125
GENE28,GENE17,0.125
GENE180,GENE146,0.125
GENE102,GENE133,0.125
GENE132,GENE46,0.125
GENE62,GENE10,0.125
GENE28,GENE50,0.125
GENE24,GENE171,0.125
GENE55,GENE54,0.125
GENE45,GENE36,0.125
GENE43,GENE34,0.125
GENE45,GENE59,0.125
GENE11,GENE29,0.125
GENE127,GENE89,0.125
GENE9,GENE180,0.125
GENE122,GENE121,0.125
GENE40,GENE58,0.125
GENE108,GENE103,0.125
GENE200,GENE188,0.125
GENE112,GENE154,0.125
GENE124,GENE119,0.125
GENE7,GENE195,0.125
GENE92,GENE108,0.125
GENE160,GENE64,0.125
GENE3,GENE97,0.125
GENE187,GENE109,0.125
GENE160,GENE93,0.125
GENE40,GENE102,0.125
GENE150,GENE193,0.125
GENE108,GENE85,0.125
GENE28,GENE7,0.125
GENE197,GENE91,0.125
GENE118,GENE111,0.125
GENE24,GENE151,0.125
GENE98,GENE153,0.125
GENE3,GENE194,0.1111111111111111
GENE92,GENE187,0.1111111111111111
GENE160,GENE192,0.1111111111111111
